词汇,清华词频,字数,搜狗重合,八股文重合,前两个AND
起司蛋糕,1216,4,1,1,1
破酥包,147,3,1,1,1
茯苓糕,237,3,1,1,1
海棠果,626,3,1,1,1
芙蓉糕,953,3,1,1,1
粉蒸肉,4323,3,1,1,1
金糕,828,2,1,1,1
荷月,868,2,1,1,1
燕皮,1001,2,1,1,1
渠江,2796,2,1,1,1
桃酥,3434,2,1,1,1
花根,3843,2,1,1,1
冰峰,13124,2,1,1,1
面皮,45060,2,1,1,1
苦丁茶,9353,3,1,1,1
烤全羊,12171,3,1,1,1
大富豪,23198,3,1,1,1
秋菊傲霜,63,4,1,1,1
健力,55428,2,1,1,1
蛋奶酥,208,3,1,1,1
仙人掌果,334,4,1,1,1
甘露糖醇,148,4,1,1,1
蜂糕,278,2,1,1,1
辣椒仔,273,3,1,1,1
核桃糕,402,3,1,1,1
扒糕,510,2,1,1,1
乳酒,710,2,1,1,1
炸土豆片,611,4,1,1,1
人心果,582,3,1,1,1
酸豆,2370,2,1,1,1
黑松沙士,416,4,1,1,1
米粉肉,591,3,1,1,1
小扁豆,721,3,1,1,1
巴旦杏,1183,3,1,1,1
炸丸子,815,3,1,1,1
酸莓,1450,2,1,1,1
法棍,931,2,1,1,1
甜菊糖,1665,3,1,1,1
黑啤酒,3499,3,1,1,1
蝴蝶酥,239,3,1,1,1
番荔枝,929,3,1,1,1
蒸糕,1941,2,1,1,1
速溶茶,1765,3,1,1,1
酸橙,2237,2,1,1,1
文旦,1614,2,1,1,1
黑森林蛋糕,1273,5,1,1,1
家常豆腐,1327,4,1,1,1
沙士,5368,2,1,1,1
越桔,1431,2,1,1,1
杏仁豆腐,1114,4,1,1,1
桃金娘,1248,3,1,1,1
水煎包,1519,3,1,1,1
花雕酒,2588,3,1,1,1
苦艾酒,1719,3,1,1,1
枸杞茶,1556,3,1,1,1
金酒,3833,2,1,1,1
杏核,4092,2,1,1,1
蓼花,1237,2,1,1,1
手抓羊肉,2908,4,1,1,1
糖醋里脊,1345,4,1,1,1
姬松茸,1814,3,1,1,1
百香果,2218,3,1,1,1
炒米粉,1817,3,1,1,1
糯米糍,2132,3,1,1,1
椰子汁,2907,3,1,1,1
韭菜花,2822,3,1,1,1
梭子蟹,4195,3,1,1,1
豆沙包,3636,3,1,1,1
糖炒栗子,3936,4,1,1,1
己二酸,3220,3,1,1,1
阿斯巴甜,3118,4,1,1,1
牛骨,9990,2,1,1,1
毛桃,3489,2,1,1,1
米糕,6060,2,1,1,1
沱茶,6080,2,1,1,1
浙菜,2740,2,1,1,1
椰奶,4721,2,1,1,1
牛油果,2909,3,1,1,1
冰醋酸,4012,3,1,1,1
毛血旺,2745,3,1,1,1
糖粉,6214,2,1,1,1
速溶咖啡,5246,4,1,1,1
三得利,4581,3,1,1,1
通心粉,9718,3,1,1,1
百里香,4791,3,1,1,1
金桔,6018,2,1,1,1
白胡椒,6487,3,1,1,1
糖醋排骨,5465,4,1,1,1
番石榴,6068,3,1,1,1
炒米,8380,2,1,1,1
覆盆子,5741,3,1,1,1
青木瓜,6075,3,1,1,1
豆汁,11348,2,1,1,1
黑松,10527,2,1,1,1
乙酸乙酯,3116,4,1,1,1
爆肚,8708,2,1,1,1
麻婆豆腐,6627,4,1,1,1
鹿肉,12445,2,1,1,1
方糖,6485,2,1,1,1
松茸,10523,2,1,1,1
葡萄汁,8909,3,1,1,1
苯甲醛,1815,3,1,1,1
豆乳,2740,2,1,1,1
山竹,10171,2,1,1,1
徽菜,6538,2,1,1,1
甘氨酸,8250,3,1,1,1
冰沙,5177,2,1,1,1
粉皮,6308,2,1,1,1
蜜柑,7539,2,1,1,1
甜酒,12146,2,1,1,1
起司,13400,2,1,1,1
烤羊肉,14103,3,1,1,1
草菇,7665,2,1,1,1
青果,9742,2,1,1,1
白肉,18220,2,1,1,1
牛磺酸,9391,3,1,1,1
牛柳,6176,2,1,1,1
酒石酸,5034,3,1,1,1
滑石粉,28537,3,1,1,1
丁酸,5596,2,1,1,1
聚乙烯醇,5524,4,1,1,1
羊排,9649,2,1,1,1
甜甜圈,6001,3,1,1,1
葡萄柚,12184,3,1,1,1
平菇,6132,2,1,1,1
杜康,28676,2,1,1,1
白葡萄酒,11869,4,1,1,1
丙氨酸,7407,3,1,1,1
丙二醇,12341,3,1,1,1
硬脂酸,10398,3,1,1,1
木糖醇,12968,3,1,1,1
山核桃,16434,3,1,1,1
寸金,32606,2,1,1,1
芝士蛋糕,6106,4,1,1,1
